name,Rating,votes,location,cuisines,approx_cost(for two people)
Via Milano,4.2,1617,Koramangala 4Th Block,"Salad, Italian, Desserts, Pizza",1500
Mimansa @ Foxtrot,4.4,191,Koramangala 3Rd Block,Cafe,1000
Biriyaniz,3.4,301,Hsr,"Biryani, North Indian, Chinese, Andhra",400
Oldtown Dilli,4.1,252,Koramangala 4Th Block,"Mughlai, North Indian, Turkish, Afghan",750
Hotel Smile,3.1,6,Jayanagar,"North Indian, Chinese",550
Taj Darbar,3.8,149,Koramangala 5Th Block,"Biryani, Mughlai, Chinese",600
Fava Bistro,4.4,383,Koramangala 5Th Block,"Mediterranean, Pizza, Italian, Beverages",1500
Midnight Restro,3.4,55,Btm,"North Indian, Fast Food",500
City Durbar,3.7,72,Jayanagar,"North Indian, Chinese, Biryani",450
Kings Kitchen,3.3,7,Koramangala 1St Block,"Biryani, North Indian",500
New Andhra Spice,3.6,22,Btm,Andhra,600
Tangerine - Davanam Sarovar Portico Suites,4.0,150,Koramangala 2Nd Block,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",1100
Eshanya,4.1,1078,Jayanagar,"North Indian, Chinese",1000
Amaravati,3.6,39,Btm,"North Indian, Chinese",400
More Than Chocolates,3.6,81,Btm,Bakery,200
Tandoor Hut,4.1,1003,Koramangala 5Th Block,"North Indian, Mughlai, Chinese, Rolls",700
Om Sai Baba Mess,3.1,11,Hsr,South Indian,250
Crunchy Nights,3.6,27,Btm,"North Indian, Chinese, Continental",350
Elmas Restaurant,3.4,34,Koramangala 7Th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",650
The Jade Kitchen,4.0,118,Jp Nagar,"Chinese, Thai",400
The Sandwich Club,3.9,88,Hsr,Fast Food,250
Bella,3.9,143,Jayanagar,"Mangalorean, Seafood, South Indian",1000
Crawl Street,4.3,2563,Koramangala 5Th Block,"Continental, Finger Food, North Indian, Chinese",1200
Vintage Shack,3.9,160,Hsr,"North Indian, Continental",900
Zingron,4.0,510,Koramangala 7Th Block,"Chinese, Naga",750
Shawarma Inc,3.2,6,Bannerghatta Road,"Rolls, Lebanese",250
Magnolia,4.1,668,Koramangala 3Rd Block,"Chinese, Thai, Asian",900
The Kitchen,3.6,9,Koramangala 1St Block,North Indian,300
Rajvardhan Foods,3.9,315,Jayanagar,"Street Food, Maharashtrian",300
Bharat Kitchen,3.7,20,Koramangala 1St Block,"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",300
Kargeens,4.1,988,Koramangala 6Th Block,"Cafe, Continental, Italian",600
Tomago Roast,3.5,12,Btm,"Fast Food, Beverages",400
Champaran Spice,3.4,5,Btm,North Indian,400
French Bakery,3.3,7,Btm,"Desserts, Bakery, Beverages",250
Drunkling - Sizzlers and Pub,4.4,345,Koramangala 5Th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",1000
Bengali Fun Foods,3.9,65,Btm,"Bengali, North Indian",600
Goodness! Beverages,3.4,4,Koramangala,Beverages,250
Khan Saab Hotel,3.1,16,Bommanahalli,"North Indian, Biryani, Chinese",300
A.M New Punjab Food Corner,3.5,21,Koramangala 1St Block,"North Indian, Chinese",350
Bisimillah Biriyani's & Kebab's,3.3,6,Btm,"Biryani, Fast Food",300
Samosa King,3.4,6,Btm,Street Food,200
The Cheesecake Corner,3.7,48,Btm,Desserts,400
Vyanjan,3.9,201,Btm,"North Indian, Street Food",300
Mid Night Hunting,3.7,127,Ejipura,"Fast Food, Italian",300
Carrots,4.1,600,Koramangala 6Th Block,"Italian, North Indian, Healthy Food, Desserts",1100
Swad 'E' Punjab,3.6,49,Hsr,"North Indian, Chinese, Mughlai",500
Rolls & Co,3.9,213,Koramangala 6Th Block,"Burger, Beverages, Rolls",400
Sunny Cafe & Kitchen,3.8,499,Hsr,"Cafe, Continental, Beverages, Desserts",700
The Paratha Stories,3.3,36,Koramangala 1St Block,North Indian,400
A Today Thick Shakes,3.2,9,Koramangala 5Th Block,Beverages,200
Bubblewrap Waffle Co.,4.4,358,Jayanagar,"Desserts, Beverages",400
Northern Bites,3.2,51,Bannerghatta Road,"North Indian, Chinese",400
Sober Turtle,3.4,39,Koramangala 4Th Block,"Street Food, Sandwich, Beverages",250
Classic Biryani Hut,3.4,10,Hsr,"Biryani, Fast Food",300
B.M.W - Bhookh Mitaane Wala,3.7,503,Koramangala 1St Block,"North Indian, South Indian, Chinese",500
Khan's Biryani,3.0,11,Btm,"Biryani, North Indian",300
Abhiruchi Moonlight,3.3,4,Bommanahalli,North Indian,300
Dhaba Express,3.7,173,Hsr,"Biryani, Fast Food, North Indian, Chinese",400
TOKI Taco House,3.6,72,Koramangala 6Th Block,Mexican,200
Sip N Bite,3.3,11,Bommanahalli,"Fast Food, North Indian, South Indian, Chinese",300
Candy Cake,3.4,6,Btm,Bakery,500
Whooppeezz,4.0,372,Btm,"Italian, Pizza",500
Hungry Lee,4.1,358,Btm,"Chinese, Thai, Asian",500
South Side Grill,3.5,14,Hsr,"Mughlai, North Indian, Andhra",600
Cinnamon,3.9,450,Hsr,"North Indian, Chinese, Biryani",550
The Lassi Bar,3.7,42,Btm,"Beverages, Juices",300
Singh Punjabi Dhaba,3.8,67,Btm,"North Indian, Chinese",400
Pabrai's Fresh and Naturelle Icecreams,3.7,118,Btm,"Ice Cream, Desserts",300
Al-Madina,3.3,8,Btm,"North Indian, Chinese",500
Banjara Melting Pot,4.2,767,Koramangala 4Th Block,"North Indian, Chinese, Seafood",1700
Homely Curries & Pickles,3.4,49,Btm,"Biryani, Andhra",300
Kopper Kadai,4.1,1697,Koramangala 5Th Block,"North Indian, Chinese",1200
Late Night,3.6,117,Btm,"North Indian, Chinese",500
Punjabi Daawat,2.4,221,Btm,North Indian,550
Borah's Kitchen,3.3,12,Btm,"North Indian, Chinese",250
Momo Jojo,3.4,6,Btm,"Chinese, Tibetan, Momos",300
Kevins Kitchen,3.7,103,Koramangala 6Th Block,"North Indian, Chinese, Biryani",400
Yeti,3.7,22,Btm,"Fast Food, Desserts, Ice Cream",300
The Biryani Story,4.4,76,Btm,"Biryani, North Indian, Chinese, Mughlai",600
Tasty Magic,2.7,73,Btm,"Chinese, North Indian",600
Marahaba,3.0,7,Koramangala 6Th Block,"Arabian, Mediterranean",400
Invitation Bar & Restaurant,3.0,15,Btm,North Indian,1000
Chettinad Food House,3.1,7,Btm,"South Indian, Chettinad, North Indian",300
RP Sweets,3.4,9,Btm,Mithai,300
Kaaka T Cafe,3.5,6,Btm,Fast Food,400
Melt,4.0,115,Btm,"Continental, Steak, Fast Food",1000
Food Junction,3.5,42,Btm,"North Indian, Chinese, Street Food, Biryani",400
Chefie,3.8,37,Koramangala 1St Block,"Continental, Fast Food, Italian, North Indian",200
New Grand Restaurant,3.1,11,Btm,"North Indian, South Indian, Biryani",500
Durbar Greens Family Restaurant,3.6,10,Hosur Road,"North Indian, Chinese, South Indian",700
Frolic,3.9,33,Koramangala 7Th Block,"Juices, Ice Cream",200
Neer Dosa Fish Land,3.6,39,Btm,"Seafood, Mangalorean",600
Shaahi Mezbaan Restaurant,3.1,9,Btm,North Indian,350
Dash In,3.1,53,Btm,"North Indian, Chinese, Kerala",600
Bruncherz,3.5,15,Btm,"North Indian, Chinese",200
Snaxup Restaurant,3.5,31,Btm,"North Indian, Fast Food, Beverages",300
Hunger Buds,3.5,10,Btm,North Indian,250
Tandoor-De-Naal,3.8,35,Btm,Fast Food,200
Tummy Delight,3.5,15,Btm,North Indian,400
Amaravati Grand,3.4,7,Btm,"Chinese, Andhra, Mangalorean",550
New Farm Fresh,3.6,34,Btm,"Italian, Pizza",650
Pothichor,3.5,12,Btm,Kerala,250
Hyderabadi Biryani Corner,3.4,7,Btm,"Hyderabadi, North Indian, Chinese",350
Amrutha Mess,3.4,5,Btm,Kerala,300
The French Loaf,3.1,31,Btm,"Bakery, Desserts, Sandwich",400
Bhaijaan Barbeques,3.4,6,Koramangala 7Th Block,"Mughlai, Arabian, Bbq",200
Entropy Cafe,4.1,505,Koramangala 6Th Block,"Cafe, Chinese, Pizza, North Indian, Burger",600
Momo Hut,4.0,684,Koramangala 5Th Block,"Chinese, Tibetan, Momos",250
Tandoor Garden,3.6,71,Btm,"North Indian, Chinese, Kebab",350
7 Plates,3.7,259,Koramangala 5Th Block,"Mughlai, Fast Food",750
Bewiched,3.4,10,Hsr,"Fast Food, Sandwich, Burger",300
Daawat Restaurant Bar & Pub,3.5,9,Koramangala 7Th Block,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700
BelgYum,4.0,68,Koramangala 7Th Block,Desserts,400
Dine in Restaurant,3.4,7,Btm,"South Indian, North Indian, Chinese",500
Top Foam Parantha Roll & Juice Centre,3.5,13,Btm,"North Indian, Chinese, Fast Food, Rolls",300
Ambur Azad Darbar,3.2,6,Btm,"North Indian, Fast Food, Biryani",250
Amravathi Restaurants & Caterers,3.1,6,Btm,"North Indian, Chinese",400
Shawarma Bae,3.3,8,Btm,"Beverages, Fast Food",200
Brew Cafe,3.2,4,Btm,Fast Food,300
Coal Grill & Cafe,3.3,8,Btm,Arabian,300
Desi Urbane,3.6,108,Btm,"North Indian, Chinese, Biryani",450
Svadu Sweets,3.3,5,Btm,"Street Food, Mithai",150
The Fresh Wok,3.3,10,Btm,Asian,600
TRIGEREATO,4.4,100,Koramangala 8Th Block,"Cafe, Continental, Beverages",700
The Charcoal Factory,4.1,291,Koramangala 6Th Block,"Burger, Pizza, Momos",600
Casa Piccosa,4.1,845,Jp Nagar,"South American, Continental, Italian",1100
Night Cafe,3.0,44,Btm,"North Indian, Chinese, Fast Food",350
Foodies Club,3.4,5,Btm,"South Indian, Chinese, North Indian, Sandwich, Rolls",300
Uncle's Kitchen,3.3,5,Btm,"North Indian, Chinese, Fast Food",450
Combo Box,3.0,15,Btm,"North Indian, Biryani, Chinese",500
What the Food,3.6,38,Btm,"North Indian, Chinese, Fast Food",250
Around The Corner,3.6,22,Btm,"North Indian, Chinese, Fast Food",350
Tandoor Hub & Golmaal Paratha,3.2,4,Btm,North Indian,450
So-Fat's Dosas,3.8,43,Btm,South Indian,200
Singh Da Dhaba,3.3,5,Btm,North Indian,400
Two States,3.4,5,Btm,"North Indian, South Indian, Chinese, Street Food",250
SoopeRolls,3.5,11,Btm,"Fast Food, Rolls",250
BongHomie,3.4,10,Btm,"Bengali, North Indian",300
Adithya Family Restaurant,3.7,27,Btm,South Indian,250
Ambur Biriyani Point,3.6,26,Btm,Biryani,150
Gobi Gate,3.2,8,Btm,Chinese,200
Parivaar,3.3,7,Btm,"Biryani, North Indian, Chinese",600
Hungry Nights,3.0,54,Btm,"Chinese, North Indian",300
Shater Grill House,3.5,8,Btm,"North Indian, Arabian, Chinese",700
Pizza D Italy,3.5,14,Btm,Italian,500
Amara Food Point,3.3,4,Btm,South Indian,250
Night Bell,3.1,53,South Bangalore,"Fast Food, North Indian",450
Eaternet,3.6,24,Btm,"North Indian, Chinese, Street Food",300
NY8LIFE,3.2,4,Btm,"North Indian, Rolls, Biryani",300
Shangai Sun,3.4,12,Btm,"Asian, Chinese",500
My Dabeli & My Pizza,3.4,5,Btm,"Pizza, Burger",400
Asia In A Box,3.2,5,Koramangala 1St Block,"Thai, Asian",550
Mandi,3.8,561,Jp Nagar,North Indian,800
Nite Out,3.9,162,Jp Nagar,"North Indian, Chinese, Biryani",500
Imperial Restaurant,3.6,241,Koramangala 6Th Block,"Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",800
Mongolian Kitchen,3.8,30,Btm,"Chinese, Mongolian",500
Lassi Top,3.2,7,Koramangala 4Th Block,"Beverages, Ice Cream",200
The Hidden Cafe,3.9,95,Koramangala 1St Block,"North Indian, Fast Food",350
Momo Junction,3.8,30,Btm,"Fast Food, Momos",100
The Shawarma Inc,3.3,94,Koramangala 5Th Block,"Arabian, Fast Food",200
Cashmere Nites,3.5,74,Koramangala 6Th Block,Kashmiri,600
Appam & Curry,3.8,18,Koramangala 1St Block,"Kerala, South Indian",200
Nutrition on Wheels,2.9,23,Btm,Healthy Food,300
Hungry Queen,3.3,21,Hsr,"North Indian, Chinese, Fast Food",300
Grill N Chill,3.1,17,Btm,"North Indian, Chinese",400
Desi Vibes,3.7,46,Btm,"North Indian, Chinese",600
Hotel Archana Grand,3.5,22,Bommanahalli,"Chinese, North Indian",500
Chakh Le india,3.2,6,Bommanahalli,"North Indian, Chinese",250
2nd Home Restaurant,3.7,21,Btm,"South Indian, North Indian, Chinese",500
Hello Brother Hotel,3.4,6,Hsr,"North Indian, Chinese",300
Wakeup Cafe,3.4,9,Hsr,"Fast Food, Beverages",300
Chill-Um Cafe,4.1,151,Koramangala 6Th Block,"Cafe, Chinese, Continental",600
Abhiruchi,2.9,36,Hsr,"Andhra, Chinese, Biryani",400
Pallavi North Indian Veg Restaurant,3.7,244,Jp Nagar,"Biryani, North Indian, Chinese",450
Cafemoto,4.0,201,Koramangala 5Th Block,"Cafe, Continental, Italian, Burger",800
Kapoor's Biriyani,3.3,334,Btm,"Biryani, North Indian",400
Kokomo,4.0,193,Koramangala 6Th Block,"Thai, Chinese",500
24/7 Food Service,2.9,7,Jp Nagar,"South Indian, North Indian, Fast Food",300
Keep It Straight Cafe,3.9,202,Hsr,"Cafe, North Indian, Fast Food",500
Rollin,4.1,209,Koramangala 4Th Block,"Continental, Pizza, Chinese",400
Donne Biriyani House,3.8,278,Hsr,Biryani,200
Habitts,3.7,61,Btm,"Fast Food, Sandwich, Italian",450
Kolkata Famous Katti Rolls,3.6,36,Btm,"Fast Food, Rolls",200
Al Habibi Restaurant,3.5,17,Btm,"North Indian, Chinese",300
BTM Bawarchi Biryani,3.5,132,Btm,"Biryani, North Indian, Chinese",600
Punjabi Chulha,3.8,38,Koramangala 1St Block,North Indian,400
Under The Hood,4.0,76,Koramangala 1St Block,"Salad, Healthy Food, Street Food",300
Berry'd Alive,4.3,1899,Koramangala 5Th Block,Desserts,400
Ghar Ka Khana,3.7,95,Koramangala 1St Block,North Indian,150
Burger Lounge,3.0,72,Koramangala 5Th Block,"Burger, Fast Food, Beverages",600
The Kream Story,4.1,37,Koramangala 7Th Block,"Desserts, Fast Food",500
AutoExpress - Hot Dogs,3.3,5,Hsr,Fast Food,300
Banana Beach Bar,3.7,1014,Koramangala 6Th Block,"Continental, Chinese",1300
Y Not Restaurant,3.0,4,Jp Nagar,Fast Food,300
Taza Khaana,3.0,175,Hsr,"Chinese, North Indian",450
Hunger Night King,3.6,112,Koramangala 2Nd Block,"North Indian, Chinese",400
Double Blend,3.6,11,Btm,"Beverages, Juices, Ice Cream",200
Ande Ka Funda,3.5,27,Btm,North Indian,200
Hasini Foods,2.9,21,Koramangala 4Th Block,"Andhra, Chinese, North Indian",450
Kataria's Home Food,3.1,40,Btm,North Indian,400
The Biriyani Factory,3.1,30,Btm,"North Indian, Biryani",500
Night Spoon,2.6,54,Btm,"Biryani, Chinese, North Indian",600
Gilly's Restobar,4.5,3902,Koramangala 5Th Block,"Finger Food, Continental, North Indian",1000
The Night Watch Express,3.0,53,Koramangala 1St Block,"North Indian, Chinese",500
Pensiri Cafe,3.5,48,Hsr,North Indian,300
Marunadan Kada,3.3,6,Btm,"Kerala, Tea",250
The Kitchen Bandit,3.2,42,Koramangala 2Nd Block,"Chinese, North Indian, Fast Food",350
Siddique Kabab Centre,3.1,68,Jayanagar,"Mughlai, Kebab, Chinese",550
Bottle Breacher,4.2,1192,Jp Nagar,"Italian, Continental",1200
Fresh Bites,3.3,16,Koramangala 1St Block,"Italian, Fast Food",400
Lassi Pot,3.3,4,Btm,Beverages,250
Royal View Restaurant,3.7,26,Btm,"North Indian, Chinese, Arabian",700
Ober Cafe,3.5,10,Koramangala 1St Block,"Fast Food, Desserts",200
Mealsbaba,3.7,57,Hsr,North Indian,400
Tawa,3.4,25,Koramangala 1St Block,North Indian,200
The Kitchen Story,3.3,18,Hsr,"North Indian, Chinese",300
Ambur Hot Dum Biryani,3.5,21,Btm,Biryani,200
Egg Star,3.6,19,Hsr,"Healthy Food, Sandwich",300
Lucky's Biriyani Point,3.4,9,Hsr,"Biryani, South Indian, North Indian, Fast Food",400
Kesariya,4.2,1214,Jp Nagar,Rajasthani,1200
Khichadiwala,3.9,15,Hsr,North Indian,400
Zengi Pub & Restaurant,3.7,32,Btm,"Finger Food, Continental, Chinese",900
Nile Garden Restaurant,2.6,33,Btm,"North Indian, Fast Food, Chinese, Beverages",500
Kullukki,3.5,9,Koramangala 5Th Block,"Juices, Beverages, Fast Food",400
Sri Bhagya Grand,3.4,185,Bannerghatta Road,"South Indian, North Indian, Chinese, Street Food, Beverages",450
Big Wong XL,4.5,678,Koramangala 5Th Block,"Chinese, Sushi, Asian, Thai",1400
Nagarjuna,4.3,2296,Koramangala 5Th Block,"Andhra, North Indian, Biryani",800
Kritunga Restaurant,3.8,1159,Koramangala 5Th Block,"Andhra, Biryani, North Indian, Chinese",650
Khawa Karpo,4.3,988,Koramangala 5Th Block,"Chinese, Tibetan, Momos",350
The Himalayan,4.4,320,Koramangala 5Th Block,Korean,1200
Art of Delight,4.3,449,Koramangala 5Th Block,"Ice Cream, Desserts, Beverages",400
Food And You,3.8,89,Koramangala 5Th Block,"North Indian, Gujarati",300
Crave Bite,3.6,19,Jayanagar,"Chinese, Italian, Fast Food, Momos",400
Biryani Knights,3.6,21,Jp Nagar,Biryani,300
Dum & Oven,3.7,29,Hsr,"North Indian, Hyderabadi, Continental",600
Now Momos,3.4,11,Koramangala 7Th Block,"Chinese, Fast Food, Momos",200
Ammi's Biryani,2.7,77,Bommanahalli,"Biryani, North Indian",500
Midnight Express,2.8,26,Koramangala 5Th Block,"North Indian, Chinese, Continental",650
Hungry Bowl,3.6,51,Koramangala 5Th Block,"North Indian, Chinese, Italian",500
Midnight Hunger Solutions 24/7,3.2,11,Koramangala 5Th Block,"North Indian, Mughlai, Chinese",500
Owly,3.7,27,Koramangala,"Fast Food, North Indian",350
Petoo,3.8,178,Koramangala 1St Block,"North Indian, Fast Food, Street Food",800
Kebarbiq,4.0,138,Koramangala 7Th Block,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",800
Red Bawarchi,3.0,21,Btm,"Biryani, Chinese, North Indian",600
Dosa Bazaar,3.9,112,Jp Nagar,"Street Food, South Indian",200
Pakiza Dilli Darbar Restaurant,3.2,13,Btm,Biryani,300
Intriicake,3.8,34,Hsr,"Bakery, Desserts, Italian, North Indian, Fast Food",350
Queen Pearls,3.6,25,Ejipura,Pizza,500
Sunny's Kitchen,3.7,62,Hsr,"Continental, American",500
Bhaijaan Barbeques,3.5,9,South Bangalore,"Mughlai, Arabian, Bbq",200
Halo Chef,3.9,145,Koramangala 4Th Block,North Indian,500
Natuna Seafood House,4.2,76,Koramangala 5Th Block,Seafood,450
TangyLicious,2.6,16,Btm,Fast Food,400
The Duke of Juices,2.8,5,Hsr,"Juices, Beverages, Salad",200
Gourmet Food Truck,3.6,15,South Bangalore,Chinese,200
Chination,3.5,4,Koramangala 4Th Block,Chinese,600
Delicious Demons,3.3,26,Koramangala 1St Block,Continental,400
HungerLoft,2.5,109,Btm,"North Indian, Chinese, Arabian",800
The Blue Wagon - Kitchen,4.6,230,Jayanagar,"Cafe, Beverages",400
Zero Kelvin,4.3,169,Koramangala 4Th Block,"Desserts, Beverages",450
Ocean,3.8,213,Koramangala 6Th Block,"Mexican, Continental, Italian, Chinese",700
Kulfi & More,3.7,47,Btm,"Ice Cream, Beverages",200
Sagar Fast Food,3.7,66,Btm,"South Indian, Chinese, North Indian",300
Subham Pal Kitchen,3.3,10,Koramangala 1St Block,"North Indian, Chinese",300
The Retro,3.2,47,Koramangala 7Th Block,"Chinese, Burger",300
Raj Darbar,3.7,47,Koramangala 6Th Block,"North Indian, Chinese, Bengali",800
Akshaya Grand,3.4,29,Btm,North Indian,750
House Of Commons,4.8,4390,Koramangala 5Th Block,"Continental, Asian, North Indian",1000
Happy Brew,4.0,2151,Koramangala 5Th Block,"Continental, American, Chinese, Bbq, Salad",1000
Krishna Grand,3.2,42,Hsr,South Indian,200
Namms Cafe,3.1,7,Koramangala 2Nd Block,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300
M World Cafe,3.5,14,Koramangala 1St Block,Cafe,500
Namaste Kitchen,3.8,172,Koramangala 5Th Block,"North Indian, South Indian, Chinese",400
India On Wheels,3.6,11,Koramangala 3Rd Block,North Indian,400
Naati Biriyani,3.1,4,Btm,"Kebab, Biryani",300
California Burrito,4.1,1223,Koramangala 5Th Block,"Mexican, Fast Food",400
Royal Treat,4.1,435,Koramangala 5Th Block,"North Indian, Chinese, Biryani",500
Moghul Durbar Restaurant,4.0,335,Jayanagar,"North Indian, Bbq, Kebab, Rolls",550
Checkpost,4.1,956,Jp Nagar,"South Indian, Seafood, North Indian, Beverages",600
Anjappar,3.9,1155,Koramangala 4Th Block,"Chettinad, South Indian",650
Nandhana Palace,4.1,770,Koramangala 4Th Block,"Andhra, Biryani, North Indian, Chinese",800
Indian Coffee House & Restaurant,4.1,674,Koramangala 5Th Block,"South Indian, North Indian, Chinese",650
Samosa Party,4.1,42,Koramangala 5Th Block,"Street Food, Fast Food",150
Johnny Fox,3.9,66,Hosur Road,"North Indian, Chinese",1500
Baba Da Dhaba,4.1,446,Koramangala 7Th Block,North Indian,650
The ThickShake Factory,4.3,235,Koramangala 7Th Block,"Beverages, Juices",350
Navya Andhra Style Restaurant,3.5,12,Hosur Road,"North Indian, South Indian",200
Hari Super Sandwich,4.0,161,Jayanagar,"Fast Food, Street Food",200
Taj Durbar,3.8,83,Jayanagar,"North Indian, Bbq",400
Hatti Punjab Di,3.3,24,Hsr,"North Indian, Chinese",600
Hyderabad Bawarchi,3.9,118,Jayanagar,"North Indian, Biryani, Chinese",800
Shree Thali,4.0,181,Koramangala 5Th Block,North Indian,150
Gundappa Donne Biryani,3.1,117,Koramangala 7Th Block,Biryani,200
Ambur Biryani,3.5,17,Koramangala 3Rd Block,"Biryani, Chinese",250
Panjabi Dhaba,3.2,21,Bommanahalli,"North Indian, Chinese",300
Star Kitchen,3.3,9,Bommanahalli,"Chinese, North Indian, Biryani",150
North Indian And Bengali Mess,3.7,34,Koramangala 5Th Block,"North Indian, Bengali",300
The Donut Baker,3.8,62,Koramangala 7Th Block,Desserts,150
Food Theory,2.6,56,Hsr,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500
Momos Corner,3.3,6,Hsr,Chinese,250
Rotti Mane,3.6,13,Jayanagar,South Indian,200
Meal In A Box,3.6,16,Koramangala 7Th Block,Street Food,300
Multi Cakes,3.7,44,Jp Nagar,"Bakery, Desserts",200
Cake Art,2.9,27,Jp Nagar,Bakery,400
Pai's Kitchen,3.5,11,Koramangala 2Nd Block,South Indian,200
Good Bread,3.6,14,Jp Nagar,"Bakery, Desserts",300
UNIK Food,3.3,4,Jayanagar,"North Indian, Chinese",300
Adi's Cake N Cafe,3.3,4,Bannerghatta Road,Bakery,400
Kyakhanahai,3.4,8,Koramangala 5Th Block,"North Indian, South Indian",400
Le Rosa Restaurant,3.2,4,Hsr,"North Indian, Mughlai, Biryani",700
Mysore Carnival Restaurant,3.8,14,Koramangala 6Th Block,"Chinese, Kerala, North Indian, South Indian",350
SVR Foods - Night Ka Khana,3.5,15,Jp Nagar,"North Indian, South Indian",400
Ronnie's Kitchen,3.1,12,Koramangala 5Th Block,Chinese,200
The Tower Of Pizza,2.9,16,Koramangala 5Th Block,"Pizza, Italian",500
Indian Dhaba,3.3,7,Hsr,"North Indian, Chinese",450
Banashankari Donne Biriyani,3.3,4,Koramangala 7Th Block,"South Indian, Biryani",300
S.W.A.T Food Truck,3.7,21,Koramangala 5Th Block,"American, Fast Food",250
The Little Kitchen,3.8,27,Jayanagar,"Chinese, Momos",300
The Night King,3.3,4,Koramangala 7Th Block,"North Indian, Chinese",400
Niice Cream,3.8,38,Koramangala 5Th Block,"Ice Cream, Beverages, Desserts",400
Prakruthi Restaurant,3.2,4,Bommanahalli,"Andhra, North Indian",400
Chai Mane,3.0,8,Koramangala 5Th Block,"Juices, Fast Food",150
Desi Breakk,3.3,7,Hsr,North Indian,150
TGS Retails,3.3,4,Hsr,"Bakery, Desserts",600
Grand Chillies,3.4,7,Hsr,"North Indian, Chinese, Biryani",400
Kanha's Kafe,3.5,12,Koramangala 5Th Block,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",200
FrostBite,3.5,15,Koramangala 5Th Block,"Desserts, Fast Food",400
Jodhpur Jaika,3.3,4,Bommanahalli,"North Indian, Street Food",200
Lets cafe,3.5,6,Koramangala 5Th Block,"Chinese, North Indian",250
Homfrez.com,3.4,8,Koramangala 1St Block,"Biryani, Chettinad, Kerala, Maharashtrian, North Indian",400
Malabar Mint,3.4,39,Koramangala 5Th Block,"Kerala, North Indian, Chinese",700
The Denny's,3.7,91,Jayanagar,"North Indian, Chinese",900
Sri Lakshmi Dhaba,3.0,17,Bommanahalli,"North Indian, Chinese",300
Hotel Palace,3.7,24,Hsr,"Biryani, Chinese",250
Desi Vdesi,3.8,50,Btm,"Fast Food, North Indian, Rolls",250
Tasty Khaana Khazana,3.3,6,Bommanahalli,North Indian,300
Chaai Resto,2.7,16,Koramangala 5Th Block,Beverages,300
House Of Lassi,3.6,23,Bommanahalli,"Beverages, Fast Food",250
Lassi Pot,3.3,7,Hsr,Beverages,100
Status,3.3,67,Bannerghatta Road,"North Indian, Chinese",600
Aaranya Restaurant,3.4,212,Hsr,"North Indian, Chinese, Mughlai",800
Kerala Mess,3.4,19,Koramangala 1St Block,Kerala,200
Hot & Cold Hut,3.0,46,Koramangala 4Th Block,"Fast Food, Rolls, Juices",200
Sreeraj Lassi Bar,4.0,87,Btm,Beverages,150
Kamat Swaad,3.9,194,Jp Nagar,"South Indian, North Indian, Chinese",400
Cilantro,4.0,280,Koramangala 4Th Block,"European, American, Continental, North Indian, Steak",1500
The Open Cafe,3.7,15,Hsr,"Cafe, Chinese, Continental",500
Rimo,3.9,44,Koramangala 5Th Block,"Tibetan, Asian, Momos",500
Hot Cross Bun,3.3,4,Koramangala 6Th Block,Fast Food,500
Baker's Glove,3.4,8,Jayanagar,"Desserts, Bakery",550
Bullet Biryani,3.2,9,Btm,Biryani,300
Bajji House,3.5,7,Hsr,Street Food,100
Biryani Spot,3.5,9,Btm,"South Indian, Biryani",300
Desserts Tree,3.8,86,Koramangala 1St Block,"Mithai, Desserts",100
Om Sweets & Snacks,3.9,34,Koramangala 5Th Block,"Mithai, Oriya, Bengali",150
Momos Corner,3.1,15,Bommanahalli,"Chinese, Rolls, Momos",250
Healthy Yummy Food Restaurant,3.6,16,Hsr,"Beverages, North Indian, Chinese, Italian",900
Shabari Kitchen,3.5,16,Koramangala 1St Block,"South Indian, Chinese",150
#L-81 Cafe,3.9,48,Hsr,"Fast Food, Beverages",400
House Of Wholewheat,3.1,6,Koramangala 1St Block,"Bakery, Desserts",200
Dabba Karkhana,3.5,17,Btm,North Indian,300
Hotel Tadaka House,3.4,7,Bommanahalli,"North Indian, Chinese, Biryani",300
Eat Sleep Eat Repeat,3.5,16,Koramangala 5Th Block,"Chinese, North Indian, Continental",200
Aroma Fine Dine,4.0,127,Hsr,"North Indian, Mughlai, Chinese, South Indian",900
Amma's Pastries,4.2,434,Btm,"Bakery, Desserts",400
Choco Cheese,4.4,63,Btm,"Desserts, Beverages",300
XO Belgian Waffle,4.5,583,Btm,"Desserts, Beverages",400
Tempteys,4.2,250,Btm,Beverages,300
LayerBite,4.0,17,Btm,"Bakery, Desserts, Beverages",450
eat.fit,4.5,1238,Btm,"Healthy Food, North Indian, Biryani, Continental, Desserts",500
Coco Barista,3.7,18,Btm,"Cafe, Burger, Rolls, Beverages",400
